age,distrib
0,3.317804973859207
1,6.975128305927281
2,4.333201737255864
3,3.2499013031833868
4,1.5096723255070685
5,1.7575996841282722
6,4.208448479896288
7,2.7398341887870643
8,5.228582707722979
9,10.057639166085064
10,0.0
11,2.313462297352473
12,6.2755625737595535
13,5.609159099363739
14,6.3782076592711885
15,8.704303197679629
16,6.1950256610618135
17,3.7836557445596464
18,1.7560205289962763
19,4.366363995027777
20,3.3114883533312236
21,1.250690879995941
22,1.7907619419001841
23,4.88748519534807
24,0.0
